# format: x, y, z, (trackId)+
412.482, 45.3519, 1456.52, 6708
380.388, 165.859, 726.516, 4267
376.558, 174.46, 213.53, 2037
371.395, 185.127, 637.743, 5781
369.578, 188.818, 1526.69, 6582
357.884, 210.051, 1448.93, 4774
348.863, 224.77, 1199.3, 2052
342.979, 233.587, 1277.17, 4774
327.446, 254.899, 1110.99, 4774
244.112, 335.564, 1434.58, 6582
239.866, 338.649, 1456.94, 6582
239.155, 339.165, 1441.25, 6582
205.697, 360.398, 1122.35, 4774
191.615, 368.09, 1356.78, 6582
191.207, 368.308, 1374.12, 6582
181.777, 373.029, 1240.63, 6582
171.42, 377.912, 1058.05, 4774
168.626, 379.156, 1470.86, 4616
44.0858, 412.615, 1176.05, 4774
25.622, 414.184, 1344.15, 4774
-44.863, 412.533, 1418.75, 5424
-43.7829, 412.646, 1155.74, 6565
-169.275, 378.867, 1176.58, 4844
-211.926, 356.802, 1373.14, 5608
-214.888, 355.038, 1626.38, 6560
-327.044, 255.413, 1364.48, 4466
-353.86, 216.772, 987.899, 5864
-354.503, 215.743, 586.13, 4272
-412.845, 41.8934, 1230.49, 5426
-412.991, 40.5054, 837.884, 5622
-413.391, 36.6961, 1317.1, 5622
-413.995, 28.3336, 784.917, 396
-414.494, 20.6674, 517.353, 5622
-414.497, 20.5812, 299.398, 5622
-414.565, 18.6263, 261.408, 5622
-414.713, -14.395, 397.314, 5848
-413.807, -31.0213, 164.693, 5622
-413.074, -39.7118, 631.47, 6559
-411.355, -54.6841, 172.263, 5622
-382.582, -160.806, 652.849, 5622
-381.035, -164.406, 1615.28, 5622
-378.414, -170.292, 1043.17, 5622
-373.481, -180.852, 1536.79, 5621
-375.077, -177.579, 865.51, 6709
-370.571, -186.819, 1494.56, 5621
-372.362, -183.145, 1518, 5621
-369.641, -188.698, 1247.03, 4615
-364.221, -198.892, 715.37, 5615
-364.694, -198.003, 1371.63, 5615
-366.124, -195.314, 1039.79, 5615
-366.203, -195.166, 355.29, 5615
-357.163, -211.301, 745.383, 5615
-356.61, -212.258, 1405.28, 5615
-358.118, -209.646, 1056.08, 5370
-362.214, -202.553, 31.8715, 5615
-358.22, -209.469, 1041.27, 5370
-360.193, -206.052, 378.36, 5615
-355.337, -214.409, 1059.95, 5370
-352.318, -219.241, 1095.88, 5615
-344.373, -231.52, 434.412, 5615
-341.963, -235.093, 107.945, 5615
-328.409, -253.666, 238.671, 2700
-326.951, -255.532, 1344.58, 6224
-235.329, -341.804, 886.764, 2700
-207.963, -359.09, 906.837, 2700
-200.146, -363.555, 918.804, 2700
-179.99, -373.901, 370.452, 2700
-178.306, -374.722, 1104.96, 4749
-39.8063, -413.064, 733.798, 6712
11.0238, -414.83, 601.043, 2037
19.3182, -414.541, 1317.18, 2052
171.208, -378.006, 622.764, 4351
229.587, -345.677, 1611.74, 4843
237.428, -340.388, 562.083, 4991
366.214, -195.145, 1365.91, 6391
370.176, -187.628, 1521.45, 763
370.787, -186.374, 1501.66, 763
370.715, -186.522, 1478.96, 763
370.505, -186.952, 1448.71, 763
370.176, -187.628, 1425.75, 763
370.53, -186.901, 1400.48, 763
381.695, -162.923, 1534.91, 6392
379.672, -167.466, 1417.52, 6392
383.919, -157.495, 1413.51, 6392
414.575, -18.3462, -782.184, 4360
414.743, -13.5313, -1312.45, 458
412.405, 46.0766, -1416.11, 1784
383.267, 159.109, -1458.63, 1925
362.172, 202.625, -1204.07, 433
346.136, 228.907, -964.907, 438
345.232, 230.246, -847.995, 435
236.494, 341.018, -1466.87, 3261
234.481, 342.376, -1151.92, 2910
187.804, 370.09, -1067.61, 401
35.2408, 413.512, -103.351, 3761
28.6002, 413.976, -1562.7, 789
28.1189, 414.01, -1538.71, 789
24.5291, 414.261, -702.89, 398
22.4243, 414.408, -721.989, 398
-40.2993, 413.013, -1447.55, 3760
-55.0714, 411.301, -1549.49, 1802
-57.541, 410.954, -1394.08, 3606
-194.136, 366.75, -403.881, 1573
-230.308, 345.191, -1332.51, 2381
-228.68, 346.288, -1241.63, 2396
-350.647, 221.915, -1229.67, 1769
-352.343, 219.201, -787.417, 3606
-384.133, -156.966, -1179.92, 5615
-372.898, -182.047, -1168.3, 5615
-369.993, -188.003, -1447.54, 5615
-369.202, -189.525, -872.72, 5615
-369.265, -189.407, -567.805, 5615
-365.682, -196.145, -273.54, 5615
-363.706, -199.861, -1224.61, 2347
-365.488, -196.509, -847.665, 5615
-362.023, -202.883, -1437.32, 1065
-359.149, -207.861, -480.54, 2700
-349.844, -223.2, -1344.34, 5615
-347.684, -226.611, -217.047, 5615
-346.057, -229.024, -466.462, 2700
-348.237, -225.792, -1072.22, 5615
-344.898, -230.742, -782.554, 5615
-345.849, -229.332, -495.575, 5615
-344.257, -231.692, -1629.35, 5615
-341.986, -235.058, -1210.98, 2981
-344.789, -230.903, -1059.39, 5615
-233.141, -343.279, -1592.92, 3328
-232.213, -343.905, -1175.97, 1572
-171.228, -377.997, -920.712, 2979
-168.306, -379.299, -1637.12, 1649
-44.0419, -412.619, -921.362, 2700
-12.8797, -414.766, -925.357, 843
-0.659513, -414.962, -437.057, 791
10.1338, -414.862, -1611.06, 2138
52.0967, -411.719, -1129.62, 1432
159.453, -383.128, -285.044, 1575
237.776, -340.168, -958.114, 3265
331.099, -250.223, -90.0703, 395
381.843, -162.59, -1302.3, 1153
382.242, -161.646, -1341.02, 1649
390.393, 152.883, 1349.99, 6582
264.235, 325.556, 1103.84, 4774
137.279, 396.178, 1308.64, 399
82.4902, 411.07, 1002.16, 5629
69.525, 413.446, 992.913, 6223
-413.936, -66.7434, 1357.19, 4353
-396.95, -134.995, 389.217, 5622
-319.506, -271.446, 251.58, 2700
-317.41, -273.943, 1168.07, 6218
-65.9143, -414.094, 1277.61, 4749
72.5685, -412.909, 1027.42, 6707
259.761, -329.072, 864.307, 4360
260.466, -328.522, 841.972, 4360
259.469, -329.301, 804.556, 4360
260.39, -328.581, 775.965, 4360
266.718, -323.473, 1383.51, 6721
391.327, -150.606, 1410.73, 6392
412.716, -73.6665, -1631.34, 3583
414.957, 59.7739, -716.818, 2988
389.945, 153.993, -1077.13, 757
262.714, 326.765, -1243.71, 3310
64.4504, 414.3, -368.154, 402
-136.465, 396.474, -1380.31, 2436
-328.082, 261.029, -311.614, 3606
-327.412, 261.886, -715.199, 993
-389.504, 155.084, -1210.72, 3606
-395.803, 138.31, -935.114, 1248
-413.232, 70.7348, -1196.47, 2438
-413.267, -70.5366, -149.273, 794
-263.754, -325.953, -1096.48, 2437
-263.076, -326.483, -1411.39, 3531
