# format: x, y, z, (trackId)+
413.594, -34.0654, 1074.19, 6560
414.57, -18.4869, 1043.29, 5723
414.362, 23.084, 1344.69, 5210
353.798, 216.872, 662.947, 5310
328.326, 253.773, 759.127, 6504
253.938, 328.197, 1395.5, 7252
222.06, 350.556, 1621.93, 7374
216.847, 353.814, 981.972, 7158
198.053, 364.668, 1353.46, 4956
-9.75036, 414.875, 239.151, 401
-29.9988, 413.878, 924.501, 4946
-255.052, 327.326, 1553.11, 7184
-329.696, 252.02, 773.215, 5502
-349, 224.55, 966.692, 4960
-355.825, 213.618, 640.795, 3364
-356.733, 212.045, 1117.67, 5249
-411.257, 55.3795, 538.009, 5502
-411.576, 53.1122, 1095.66, 5209
-413.003, 40.3875, 521.502, 5502
-414.023, 27.9281, 508.432, 5502
-413.919, 29.4079, 1565.44, 7485
-414.962, 2.36416, 1495.88, 6254
-343.062, -233.464, 1280.33, 6248
-229.971, -345.418, 1504.88, 6860
-181.461, -373.184, 1233.76, 6821
-166.233, -380.221, 75.9448, 3364
-162.018, -382.092, 1242.43, 4185
-34.5858, -413.557, 1322.31, 6685
-12.2847, -414.786, 1437.35, 6894
10.1464, -414.861, 1429.6, 6894
27.9357, -414.022, 1077.24, 7157
36.7621, -413.384, 1181.9, 6510
36.2108, -413.442, 877.656, 4178
163.226, -381.56, 1507.32, 6651
162.359, -381.946, 1440.87, 6588
167.644, -379.593, 398.082, 7410
170.783, -378.196, 1570.94, 7252
182.236, -372.806, 1503.97, 6651
200.595, -363.316, 1499.82, 6651
197.321, -365.057, 1386.87, 6713
211.212, -357.214, 1498.77, 6651
207.749, -359.213, 1625.96, 6258
237.105, -340.606, 1494.13, 6651
251.131, -330.39, 266.088, 1742
361.365, -204.023, 1562.96, 6096
384.004, -157.286, 32.7192, 404
413.458, -35.9993, -131.974, 412
414.259, -24.5443, -545.327, 1296
414.962, -3.03473, -551.572, 1296
414.962, 1.42973, -1279.71, 1906
414.502, 20.4359, -803.617, 399
413.26, 37.9456, -509.647, 252
411.489, 53.7332, -1176.34, 747
377.967, 171.297, -1370.7, 1508
233.239, 343.214, -1026, 1911
218.706, 352.652, -464.793, 3896
211.611, 356.984, -1269.3, 3236
-43.7519, 412.65, -1416.17, 2210
-340.605, 237.106, -1108.83, 3363
-343.177, 233.294, -1531.97, 1938
-347.566, 226.787, -1608.93, 1908
-359.192, 207.787, -1372.98, 1015
-359.728, 206.858, -1124.82, 3364
-367.53, 192.669, -1548.92, 683
-414.702, -14.7151, -1517.42, 3894
-412.645, -43.8003, -224.344, 2974
-412.259, -47.4705, -164.552, 410
-382.332, -161.424, -143.201, 2508
-378.498, -170.104, -231.076, 434
-371.66, -184.585, -124.963, 2503
-369.655, -188.674, -243.228, 434
-369.037, -189.836, -150.748, 549
-356.084, -213.17, -1186.61, 1467
-255.224, -327.192, -178.121, 403
-236.607, -340.942, -1443.74, 1328
-229.419, -345.79, -949.055, 2991
-57.2951, -410.988, -1261.97, 714
-48.2364, -412.178, -1262.61, 714
-36.6569, -413.395, -1545.57, 1067
-8.0591, -414.934, -1264.12, 714
2.5, -414.962, -1404.73, 409
2.5, -414.962, -1391.16, 409
12.0605, -414.794, -217.243, 549
7.15186, -414.966, -1419.86, 409
50.172, -411.975, -208.447, 549
53.6054, -411.507, -1245, 714
220.626, -351.453, -1054.42, 3240
245.606, -334.479, -297.093, 1512
340.8, -236.817, -1115.6, 2197
342.82, -233.823, -1034.81, 895
351.494, -220.56, -1042.45, 895
355.307, -214.457, -1046.7, 895
364.116, -199.091, -1055, 895
371.091, -185.751, -1063.64, 895
412.712, -73.6856, 1105.16, 5119
413.89, 67.0051, 1636.7, 5589
393.114, 145.696, 982.045, 4957
154.426, 389.77, 1208.83, 5772
146.972, 392.65, 1550.96, 6417
75.0243, 412.476, 1594.3, 4354
-66.5463, 413.971, 1281.59, 6578
-67.6125, 413.783, 1224.34, 6579
-259.207, 329.506, 1568.62, 7184
-393.898, 143.542, 1001.33, 7008
-396.881, 135.207, 209.788, 7222
-412.947, 72.3564, 554.821, 5502
-411.559, 80.2252, 1626.45, 6713
