# format: x, y, z, (trackId)+
414.896, -9.14793, 1245.91, 7082
414.456, 21.733, 1063.94, 5163
414.42, 22.2498, 168.722, 403
382.286, 161.538, 670.783, 414
375.956, 175.776, 1042.09, 7025
366.94, 193.78, 1466.25, 4966
367.52, 192.688, 79.7355, 396
328.532, 253.509, 653.718, 417
37.1668, 413.342, 1004.58, 6809
23.1386, 414.358, 955.963, 7474
15.251, 414.683, 71.3717, 675
-50.6817, 411.918, 1318.02, 7076
-158.279, 383.603, 649.94, 402
-173.64, 376.924, 1154.49, 5286
-194.557, 366.526, 806.416, 5867
-209.361, 358.283, 780.551, 5867
-222.662, 350.18, 757.219, 5867
-236.309, 341.143, 1290.3, 7035
-246.362, 333.929, 717.43, 5867
-252.864, 329.036, 112.569, 594
-336.863, 242.324, 769.814, 595
-339.538, 238.643, 1065.84, 432
-368.803, 190.276, 1182.85, 7021
-379.812, 167.153, 1244.65, 4739
-411.545, 53.3307, 1557.45, 7419
-414.472, 21.3007, 245.837, 409
-414.479, -21.098, 1196.79, 5062
-244.52, -335.268, 963.558, 6052
-244.661, -335.166, 656.817, 6052
-243.178, -336.243, 1009.95, 6052
-243.178, -336.243, 916.453, 6052
-243.178, -336.243, 866.953, 6052
-243.178, -336.243, 822.953, 6052
-243.178, -336.243, 778.953, 6052
-243.178, -336.243, 749.028, 6052
-243.178, -336.243, 707.453, 6052
-158.242, -383.618, 1382.44, 5115
-9.24323, -414.893, 1230.31, 7074
-2.98331, -414.962, 669.802, 410
3.47941, -414.962, 353.679, 423
6.94963, -414.973, 717.99, 5115
18.4451, -414.571, 708.307, 5115
16.7523, -414.63, 142.684, 418
36.6805, -413.393, 694.706, 5115
51.0367, -411.868, 681.947, 5115
166.211, -380.231, 590.647, 5115
181.246, -373.288, 577.57, 430
191.041, -368.396, 898.269, 6052
192.029, -367.871, 524.948, 430
197.512, -364.955, 1299.87, 4529
221.128, -351.139, 592.457, 6052
339.428, -238.794, 361.977, 927
362.053, -202.831, 831.484, 6804
373.997, -179.794, 620.407, 5660
411.996, -49.9671, -867.17, 3567
413.03, -40.1361, -404.677, 3470
414.523, -19.8147, -230.341, 3567
414.962, 6.14587, -828.733, 2100
414.864, 10.0745, -1582.94, 3201
383.174, 159.34, -1052.78, 1767
384.029, 157.224, -1610.21, 719
374.582, 178.594, -1043.08, 1767
369.115, 189.688, -1035.38, 1767
360.659, 205.245, -1372.96, 3505
355.266, 214.522, -1207.61, 1767
235.982, 341.363, -1273.16, 399
236.972, 340.696, -1251.59, 399
165.47, 380.561, -1612.58, 3730
6.60485, 414.962, -1598.24, 3527
-19.2632, 414.543, -624.792, 3484
-45.6866, 412.446, -1485.48, 3429
-158.805, 383.39, -1198.6, 2108
-178.295, 374.728, -1462.92, 435
-192.259, 367.748, -1373.39, 5867
-194.099, 366.77, -1198.16, 1495
-206.282, 360.061, -1402.14, 5867
-208.521, 358.767, -308.698, 5867
-233.96, 342.727, -1444.4, 5867
-237.463, 340.364, -1457.67, 5867
-228.69, 346.282, -342.923, 5867
-245.282, 334.714, -871.371, 406
-250.423, 330.943, -1482.26, 5867
-250.292, 331.046, -383.374, 5867
-356.102, 213.138, -1492.19, 3471
-382.563, -160.853, -289.532, 5669
-378.08, -171.043, -260.352, 5669
-374.385, -178.997, -1623.83, 930
-236.671, -340.899, -1002.86, 2091
-190.497, -368.685, -1127.15, 2303
-172.263, -377.537, -1141.44, 2303
-164.471, -381.006, -1607.77, 3196
-156.989, -384.124, -679.08, 2533
-45.1389, -412.504, -1239.65, 2303
-41.8878, -412.846, -1585.28, 318
-37.5319, -413.303, -1565.12, 318
-28.5148, -413.982, -1251.74, 2303
-19.9548, -414.519, -1257.98, 2303
244.617, -335.197, -1344.62, 2379
249.908, -331.345, -857.789, 2380
343.832, -232.321, -1136.84, 2559
412.693, 73.7953, 1476.92, 6807
394.143, 142.869, 1637.1, 5321
272.829, 318.345, 922.162, 5050
-66.1522, 414.04, 73.6742, 676
-265.587, 324.422, 686.135, 5867
-270.442, 320.348, 1401.31, 6051
-329.467, 259.257, 967.879, 6051
-391.603, 149.848, 935.889, 5063
-414.732, -61.373, 29.672, 630
-412.772, -73.3481, 1139.03, 6223
-392.341, -147.82, 808.568, 428
-276.682, -315.014, 883.453, 6052
-276.682, -315.014, 850.222, 6052
-276.682, -315.014, 835.333, 6052
-276.682, -315.014, 803.457, 6052
-276.682, -315.014, 767.448, 6052
-276.682, -315.014, 712.953, 6052
-276.682, -315.014, 685.498, 6052
-276.682, -315.014, 598.096, 6052
-260.832, -328.236, 1038.05, 6051
-153.831, -390.01, 1017.71, 6051
-137.585, -396.066, 1376.36, 5115
-134.423, -397.136, 632.459, 415
75.9932, -412.305, 668.529, 5115
150.227, -391.466, 606.334, 5115
260.35, -328.612, 336.819, 928
321.029, -269.63, 1177.58, 5115
414.484, 63.1404, -1290.75, 1767
396.999, 134.843, -1066.67, 1767
391.758, 149.422, -737, 1891
275.736, 315.866, -1631.06, 3985
-77.6095, 412.02, -1231.21, 1458
-136.296, 396.535, -1312.02, 3567
-261.344, 327.836, -1499.76, 5867
-320.263, -270.543, -1375.58, 3667
-317.663, -273.642, -523.063, 425
-259.809, -329.035, -719.211, 413
-152.612, -390.503, -1158.85, 2303
-154.778, -389.628, -1487.2, 2680
-68.5086, -413.625, -1222.64, 2303
-73.0173, -412.83, -1603.76, 702
-64.7686, -414.255, -1380.88, 424
-64.0622, -414.354, -1361.14, 424
275.477, -316.1, -1571.03, 2260
324.913, -265.002, -32.3287, 3996
412.217, -97.3048, 14.4535, 405
423.47, -8.60973, 1243.07, 7082
423.02, 21.5052, 173.728, 403
412.534, 96.0331, 1443.92, 5748
374.56, 197.66, 79.9622, 396
374.101, 198.523, 1469.87, 4966
125.254, 404.61, 217.402, 120
87.0696, 414.467, 1119.1, 6842
84.1421, 415.089, 894.107, 6316
19.2434, 423.099, 72.7116, 675
-200.893, 372.841, 800.953, 5867
-282.649, 315.394, 565.966, 408
-376.245, 194.491, 1191.43, 7021
-404.73, 124.884, 1228.95, 4632
-423.054, 20.5283, 250.612, 409
-423.045, -20.7662, 1201.11, 5062
-281.218, -316.683, 784.453, 6052
-280.358, -317.457, 566.662, 6052
-280.385, -317.433, 533.592, 6052
-121.84, -405.643, 406.311, 628
-97.1331, -412.26, 1603.74, 5051
-90.798, -413.674, 434.595, 433
-11.1281, -423.382, 1224.37, 7074
0.402975, -423.513, 687.02, 410
3.16476, -423.513, 363.891, 423
17.514, -423.159, 145.576, 418
84.9435, -414.919, 658.36, 5115
95.0804, -412.772, 651.173, 5115
130.642, -402.859, 1163.98, 5061
123.731, -405.105, 629, 5115
131.866, -402.461, 621.612, 5115
195.136, -375.902, 895.935, 6052
197.51, -374.64, 540.765, 430
202.158, -372.168, 1299.15, 4529
224.808, -358.921, 592.891, 6052
313.734, -284.493, 1183.69, 5115
369.191, -207.567, 820.782, 6804
412.217, -97.3048, -1207.89, 3664
423.401, -10.5926, -235.977, 3567
423.513, 5.95132, -821.126, 2100
368.89, 208.088, -1372.6, 3505
365.977, 213.134, -1212.2, 1767
308.849, 289.847, -1007.11, 2055
97.1007, 412.268, -1081.41, 420
10.1956, 423.415, -1603.81, 3527
-133.387, 401.967, -616.951, 3567
-195.454, 375.733, -278.796, 5867
-199.81, 373.417, -1198.32, 1495
-212.522, 366.33, -308.383, 5867
-362.853, 218.546, -1517.89, 3471
-134.047, -401.753, -1173.52, 2303
-125.871, -404.41, -1180.32, 2303
-96.0436, -412.531, -1202.02, 2303
-85.5125, -414.798, -1210.09, 2303
85.6177, -414.775, -381.341, 5090
85.2209, -414.86, -342.403, 368
92.5636, -413.299, -400.956, 5090
427.127, 24.3884, 1055.55, 5163
393.51, 167.919, 696.488, 414
388.843, 178.4, 1045.58, 7025
338.963, 260.989, 679.003, 417
37.5932, 426.203, 1003.52, 6809
23.7172, 427.174, 968.74, 7474
-50.9518, 424.789, 1315.49, 7076
-165.382, 394.565, 669.596, 402
-182.232, 387.077, 838.179, 5867
-181.094, 387.632, 1157.08, 5286
-243.122, 352.017, 1301.59, 7035
-260.265, 339.528, 115.087, 594
-338.339, 261.788, 968.426, 6051
-349.209, 247.15, 1100.35, 432
-349.506, 246.742, 795.918, 595
-392.192, 170.878, 1254.58, 4739
-424.489, 53.3854, 1549.64, 7419
-251.293, -346.2, 658.051, 6052
-159.793, -396.823, 1018.19, 6051
38.1107, -426.138, 693.6, 5115
52.5553, -424.605, 681.099, 5115
64.2407, -422.963, 675.222, 5115
266.94, -334.314, 347.646, 928
348.282, -248.426, 367.485, 927
385.047, -186.393, 615.5, 5660
425.381, -45.32, -869.593, 3567
425.689, -42.382, -403.269, 3470
427.008, 26.0805, -1587.58, 3201
395.829, 162.252, -1614.82, 719
393.995, 166.829, -1052.69, 1767
241.489, 353.119, -1304.3, 399
245.651, 350.311, -1283.07, 399
173.697, 390.937, -1609.45, 3730
-30.1219, 426.726, -633.263, 3484
-45.6275, 425.348, -1478.37, 3429
-167.181, 393.838, -1188.07, 2108
-171.088, 392.098, -1330.06, 5867
-185.863, 385.306, -1354.33, 5867
-187.082, 384.711, -256.598, 5867
-184.902, 385.774, -1513.1, 435
-184.668, 385.888, -1491.5, 435
-252.171, 345.562, -903.907, 406
-264.699, 336.064, -397.583, 5867
-385.596, -185.267, -1620.1, 930
-385.633, -185.192, -1593.95, 930
-264.308, -336.37, -743.862, 413
-245.665, -350.302, -1000.85, 2091
-182.271, -387.058, -1618.06, 3196
-161.501, -396.133, -659.365, 2533
-158.218, -397.459, -1482.28, 2680
-44.2247, -425.496, -1635.56, 318
-41.9408, -425.736, -1623.2, 3197
-31.3586, -426.639, -1585.84, 3197
251.722, -345.888, -1344.86, 2379
257.991, -341.305, -845.329, 2380
353.747, -240.558, -1136.29, 2559
425.263, 76.361, 1491.94, 6807
281.17, 328.088, 920.92, 5050
-69.4707, 426.478, 75.2518, 676
-282.846, 326.682, 595.939, 408
-282.583, 326.902, 1398.94, 6051
-285.511, 324.323, 664.148, 5867
-403.792, 153.858, 933.979, 5063
-427.14, -65.2398, 31.351, 630
-425.876, -72.885, 1145.78, 6223
-403.721, -154.051, 832.349, 428
-284.513, -325.221, 533.419, 6052
-271.385, -336.266, 1037.58, 6051
-138.52, -409.29, 1374.01, 5115
-137.242, -409.705, 654.9, 415
75.8508, -425.353, 664.694, 5115
329.212, -279.83, 9.76974, 3996
426.514, 69.2659, -1285.51, 1767
404.329, 152.381, -741.725, 1891
-79.5537, 424.7, -1240.51, 1458
-280.922, 328.296, -428.958, 5867
-281.215, 328.05, -1525.37, 5867
-331.381, -277.245, -1385.69, 3667
-329.358, -279.656, -547.06, 425
-329.358, -279.656, -533.937, 425
