# format: x, y, z, (trackId)+
412.046, -49.4931, 1293.26, 5159
372.192, 183.494, 971.459, 7083
343.992, 232.085, 1523.03, 6771
336.061, 243.428, 1497.81, 6771
236.142, 341.255, 1292.2, 6149
208.995, 358.494, 1101.86, 6863
205.301, 360.627, 1559.78, 4365
195.09, 366.243, 1149.74, 6574
54.5206, 411.378, 1562.89, 7164
54.4073, 411.394, 1536.69, 7164
55.3726, 411.258, 1521.19, 7164
54.1814, 411.426, 1509.16, 7164
54.1665, 411.428, 1481.7, 7164
57.2188, 410.999, 1469.77, 7164
54.6588, 411.359, 1434.23, 7164
52.3156, 411.688, 1587.45, 7164
-186.64, 370.658, 1563.64, 7137
-341.077, 236.407, 346.026, 4248
-352.522, 218.915, 559.113, 6164
-368.03, 191.728, 599.847, 396
-382.56, 160.859, 478.089, 5735
-241.46, -337.491, 1415.26, 5732
-180.035, -373.879, 1308.77, 4783
19.6261, -414.53, 1258.24, 4345
24.8818, -414.236, 1226.55, 4345
183.591, -372.145, 1626.79, 6000
183.075, -372.396, 1603.34, 6976
184.246, -371.825, 110.829, 394
210.387, -357.69, 1190.3, 4751
334.96, -244.943, 1359.97, 5169
347.58, -226.766, 1343.02, 5169
358.752, -208.549, 1326.52, 5169
368.442, -190.953, 1310.24, 5169
412.998, -40.4406, -463.707, 3969
414.375, -22.8879, -1097.69, 2843
413.814, 30.9206, -1282.71, 4035
369.564, 188.845, -1530.91, 3056
369.675, 188.635, -364.749, 443
340.707, 236.955, -348.243, 2801
336.144, 243.314, -356.209, 2801
251.409, 330.173, -1313, 2232
250.52, 330.867, -204.803, 399
230.505, 345.057, -531.075, 3969
192.665, 367.532, -623.194, 3969
43.2837, 412.699, -641.479, 1742
36.5624, 413.419, -1532.07, 2063
28.9021, 413.955, -1529.3, 2063
32.5489, 413.7, -1280.39, 1967
25.2729, 414.209, -1266.4, 1967
24.6857, 414.25, -1164.71, 1748
14.9103, 414.695, -1324.88, 4046
-20.9273, 414.485, -773.567, 1968
-32.1246, 413.729, -447.313, 3952
-205.804, 360.337, -708.641, 406
-244.801, 335.063, -1216.97, 2631
-332.589, 248.207, -1418.92, 2063
-336.243, 243.178, -1438.6, 2063
-339.453, 238.759, -1428.87, 2063
-361.817, 203.239, -611.528, 2478
-378.065, 171.075, -1472.03, 224
-378.72, 169.605, -1500.7, 224
-414.492, 20.7273, -1534.83, 3912
-414.912, -8.67566, -1454.53, 1749
-413.342, -37.165, -908.122, 2801
-412.134, -48.6558, -917.165, 2801
-377.812, -171.644, -939.488, 1936
-371.707, -184.488, -956.329, 1936
-361.134, -204.423, -968.494, 1936
-354.561, -215.652, -980.907, 1936
