# format: x, y, z, (trackId)+
413.442, -36.237, 799.164, 54
414.522, 19.8446, 1609.99, 582
413.738, 32.0076, 822.125, 614
413.769, 31.5533, 1514.37, 6161
413.449, 36.15, 874.371, 614
413.303, 37.5319, 850.033, 614
412.444, 45.705, 164.879, 1095
411.012, 57.1258, 420.128, 1053
411.132, 56.2727, 1471.14, 730
376.13, 175.421, 228.103, 468
363.549, 200.157, 1186.8, 7036
359.954, 206.466, 1338.54, 6469
353.638, 217.129, 819.752, 579
349.863, 223.17, 378.003, 579
343.83, 232.326, 1224.15, 7026
344.388, 231.498, 1140.43, 579
336.525, 242.79, 1524.12, 579
229.461, 345.762, 693.114, 408
-9.01844, 414.901, 994.065, 450
-29.9859, 413.879, 762.74, 6470
-35.9398, 413.471, 1636.95, 6958
-41.5718, 412.879, 1510.14, 7277
-46.4165, 412.37, 1154.83, 6071
-179.715, 374.035, 1484.82, 440
-183.759, 372.063, 1452.31, 440
-184.209, 371.844, 1550.51, 429
-218.267, 352.926, 1510.89, 7418
-246.23, 334.025, 1096.39, 6616
-329.993, 251.64, 1119.94, 7091
-338.132, 240.578, 1149.9, 7091
-336.852, 242.339, 769.326, 6108
-340.604, 237.108, 356.398, 420
-353.683, 217.056, 592.521, 7090
-357.372, 210.939, 227.011, 7090
-359.219, 207.74, 1243, 6618
-357.238, 211.17, 612.079, 7090
-359.369, 207.48, 1201.18, 1137
-359.732, 206.85, 987.596, 7090
-363.788, 199.707, 1407.71, 7090
-366.77, 194.1, 111.572, 251
-381.226, 163.976, 1109.55, 6208
-411.752, 51.8596, 743.814, 5399
-414.738, 13.6695, 791.304, 7421
-414.962, 5.32408, 374.265, 613
-413.592, -34.0954, 204.969, 424
-411.662, -52.4989, 209.481, 499
-378.825, -169.37, 14.4898, 578
-373.559, -180.691, 297.749, 430
-366.737, -194.161, 949.381, 777
-363.682, -199.906, 1226.99, 6183
-352.898, -218.312, 118.944, 6323
-251.283, -330.271, 242.958, 436
-239.653, -338.804, 855.848, 7417
-228.765, -346.231, 1098.09, 4835
-211.24, -357.198, 32.8695, 413
-209.646, -358.118, 436.512, 777
-202.257, -362.384, 420.361, 776
-199.759, -363.76, 476.109, 777
-201.462, -362.855, 461.11, 777
-199.765, -363.757, 520.096, 777
-200.921, -363.142, 495.128, 777
-192.271, -367.742, 1146.36, 479
-183.493, -372.193, 410.355, 776
-188.617, -369.694, 1163.8, 479
-7.07513, -414.962, 35.6703, 462
9.81709, -414.873, 1028.18, 439
206.177, -360.121, 658.599, 529
222.635, -350.197, 32.9079, 4302
222.505, -350.278, 203.606, 4302
224.748, -348.877, 161.203, 4302
225.738, -348.273, 127.424, 4302
226.056, -348.059, 102.748, 4302
226.768, -347.578, 181.504, 4302
235.374, -341.774, 1510.28, 5043
236.131, -341.263, 999.348, 4302
239.155, -339.165, 1158.45, 4302
239.155, -339.165, 1114.45, 4302
239.155, -339.165, 1101.64, 4302
239.155, -339.165, 1093.96, 4302
239.155, -339.165, 1069.41, 4302
239.155, -339.165, 1029.56, 4302
243.178, -336.243, 1015.45, 4302
247.201, -333.32, 641.453, 4302
249.308, -331.789, 551.211, 4302
249.916, -331.34, 681.418, 4302
250.639, -330.774, 618.711, 4302
251.151, -330.375, 723.953, 4302
251.151, -330.375, 690.006, 4302
251.151, -330.375, 591.383, 4302
251.151, -330.375, 579.214, 4302
329.253, -252.586, 1290.61, 1078
329.758, -251.94, 1454.82, 7890
329.632, -252.101, 436.55, 4302
328.953, -252.97, 1187.62, 6207
332.758, -247.974, 1258.87, 4302
334.163, -246.04, 881.46, 4302
338.996, -239.388, 1370.15, 4302
338.377, -240.24, 1329.24, 4302
339.369, -238.875, 1287.3, 1078
349.431, -223.861, 1333.77, 4302
356.087, -213.165, 244.54, 434
372.02, -183.846, 933.453, 453
375.094, -177.543, 886.048, 4760
377.131, -173.175, 450.759, 232
383.63, -158.21, 1116.88, 729
411.708, -52.1712, -991.528, 484
414.616, -17.1551, -1637.03, 2245
412.299, 47.0858, -693.057, 614
411.984, 50.0826, -746.779, 614
410.901, 57.9149, -1594.22, 614
411.091, 56.5635, -1504.01, 614
411.688, 52.3156, -719.106, 614
410.965, 57.4637, -1524.52, 614
382.442, 161.152, -1547.48, 4252
378.716, 169.615, -732.574, 921
374.123, 179.536, -727.717, 921
370.773, 186.404, -723.766, 921
375.912, 175.867, -333.59, 1090
371.432, 185.053, -1323.29, 2054
370.07, 187.844, -1267.63, 2054
370.176, 187.628, -1298.87, 2054
367.083, 193.511, -1620.56, 3506
357.987, 209.873, -121.295, 613
362.382, 202.26, -64.2513, 157
359.392, 207.44, -183.443, 404
357.484, 210.745, -1476.27, 3067
353.997, 216.554, -1196.36, 2054
343.597, 232.671, -1265.37, 2054
344.132, 231.877, -78.3277, 449
334.373, 245.752, -1264.83, 2054
6.40736, 414.962, -65.5224, 469
-188.256, 369.877, -104.843, 478
-229.192, 345.943, -1571.34, 3506
-234.298, 342.499, -423.149, 375
-244.071, 335.594, -123.332, 497
-331.816, 249.27, -1418.77, 7090
-331.477, 249.737, -1004.55, 7090
-334.905, 245.019, -987.597, 7090
-335.954, 243.576, -273.168, 357
-341.986, 235.058, -576.209, 7090
-346.996, 227.632, -554.943, 7090
-350.604, 221.984, -179.338, 7090
-352.89, 218.325, -933.343, 7090
