# format: x, y, z, (trackId)+
411.61, -52.8718, 120.007, 534
412.473, -45.4367, 749.172, 6297
414.775, -12.6026, 1060.68, 564
414, 28.2601, 274.205, 415
411.722, 52.0777, 1342.63, 2109
384.509, 156.035, 304.391, 575
377.152, 173.126, 1567.88, 3018
369.509, 188.947, 857.181, 6865
359.104, 207.939, 286.137, 428
339.155, 239.17, 506.536, 601
332.931, 247.736, 286.117, 616
327.421, 254.931, 15.5017, 1859
251.294, 330.263, 281.528, 6303
244.28, 335.442, 365.327, 2253
209.39, 358.266, 171.924, 611
204.923, 360.845, 1139.78, 88
204.307, 361.201, 1118.8, 88
172.118, 377.601, 407.884, 6478
163.755, 381.325, 1362.21, 6230
162.537, 381.882, 1388.24, 6230
51.8708, 411.751, 1636.62, 436
41.3163, 412.906, 562.823, 115
32.2964, 413.717, 1302.06, 631
26.6781, 414.11, 363.613, 653
14.1326, 414.722, 2.55938, 6478
-22.5976, 414.396, 1003.63, 5701
-27.2407, 414.071, 985.778, 5701
-32.5489, 413.7, 998.889, 5701
-55.3735, 411.258, 1036.45, 6478
-57.2188, 410.999, 1130.82, 6478
-159.434, 383.136, 437.826, 646
-156.111, 384.479, 379.11, 5703
-165.063, 380.742, 585.21, 2595
-169.451, 378.789, 573.397, 2595
-228.148, 346.648, 1484.85, 846
-229.453, 345.767, 173.989, 495
-231.453, 344.418, 635.625, 548
-231.513, 344.377, 1505.9, 846
-238.11, 339.924, 236.598, 537
-249.498, 331.666, 939.667, 5084
-341.227, 236.183, 106.724, 570
-343.083, 233.432, 1093.87, 27
-344.789, 230.903, 1080.2, 27
-351.644, 220.319, 1542.36, 5460
-364.951, 197.52, 1548.72, 5460
-366.793, 194.056, 136.402, 541
-369.629, 188.749, 293.016, 397
-373.824, 180.147, 186.247, 515
-381.686, 162.943, 567.959, 527
-410.909, 57.8612, 1395.45, 486
-411.249, 55.4398, 1526.19, 5461
-412.649, 43.7541, 165.188, 219
-413.7, 32.5489, 1168.08, 281
-414.037, 27.7223, 1156.8, 281
-414.17, 25.8299, 1139.55, 281
-414.962, 7.53697, 76.2671, 7733
-414.893, -9.23903, 66.2889, 7733
-414.554, -18.949, 341.973, 436
-413.996, -28.3183, 1068.85, 529
-411.807, -51.4691, 918.213, 512
