# format: x, y, z, (trackId)+
-24.0796, 414.292, 1111.54, 3852
-180.721, 373.545, 1020.05, 6528
-221.738, 350.758, 397.166, 5790
-411.75, 51.8727, 329.422, 3855
-414.962, -3.76301, 1154.82, 3984
-412.524, -44.9495, 1169.08, 3984
-411.919, -50.6696, 1175.31, 3984
-383.447, -158.664, 1296.1, 5833
-374.255, -179.265, 669.177, 3965
-368.023, -191.743, 1623.93, 5159
-253.547, -328.502, 1528.07, 4587
-238.967, -339.302, 1329.13, 4587
-235.781, -341.499, 1442.99, 4912
-223.882, -349.418, 173.328, 2287
-210.492, -357.63, 183.719, 2287
-203.718, -361.541, 712.659, 6520
-51.3653, -411.822, 790.199, 3963
-46.884, -412.321, 500.57, 4587
-19.1985, -414.545, 1586.58, 6990
47.3915, -412.267, 187.543, 4587
50.5575, -411.935, 430.247, 4587
156.345, -384.384, 1396.24, 4587
174.247, -376.653, 970.455, 4587
220.549, -351.501, 761.851, 5181
221.585, -350.853, 1183.02, 5823
379.954, -166.833, 1636.71, 4536
413.238, -38.1558, -1489.25, 1976
412.413, 46.0056, -1358.77, 2303
382.948, 159.899, -1556.22, 3042
378.532, 170.028, -1546.8, 3042
377.483, 172.383, -1307.03, 2113
358.393, 209.169, -1495.42, 461
237.176, 340.558, -1606.04, 3033
180.639, 373.585, -1510.59, 2113
178.694, 374.533, -803.967, 1474
-37.5937, 413.297, -999.903, 3377
-168.719, 379.115, -1125.82, 1348
-194.746, 366.426, -1374.01, 2099
-228.852, 346.172, -1241.19, 1565
-381.393, 163.601, -1407.16, 1793
-382.33, -161.429, -1247.74, 2079
-379.295, -168.313, -1249.46, 2079
-365.811, -195.903, -1288.67, 2079
-358.467, -209.042, -1272.75, 2079
-345.581, -229.729, -1366.49, 2079
-343.211, -233.242, -1010.84, 1330
-337.58, -241.337, -1291.33, 821
-226.844, -347.527, -444.074, 1946
-213.949, -355.634, -1196.13, 2986
-212.402, -356.527, -1499.26, 2079
-195.75, -365.892, -1554.42, 1023
-44.6492, -412.555, -1053.07, 2287
-39.3918, -413.108, -595.114, 2287
-35.0331, -413.526, -1047.05, 2287
1.34755, -414.962, -1629.95, 2393
45.5711, -412.458, -1523.74, 2090
411.291, -81.4483, 217.93, 672
329.234, 259.554, 682.372, 3962
328.02, 261.108, 778.768, 6734
264.611, 325.24, 1560.06, 6538
152.097, 390.711, 826.157, 7145
-412.647, -74.0535, 1184.48, 3984
-396.988, -134.877, 1209.98, 3984
-324.936, -264.974, 1294.34, 4764
-271.303, -319.626, 931.663, 6527
-81.1022, -411.365, 798.051, 4587
-65.6166, -414.136, 242.096, 4587
66.1719, -414.037, 1197.47, 5423
74.0317, -412.651, 705.128, 4587
136.687, -396.393, 1227.64, 4587
390.984, 151.421, -813.113, 2985
-413.449, -69.5054, -1505.26, 2394
-412.982, -72.1557, -1298.26, 2079
-315.669, -275.954, -752.087, 2287
-270.974, -319.901, -283.444, 2287
-273.649, -317.657, -1296.84, 709
69.8606, -413.387, -1197.72, 2324
412.803, -94.8976, 1515.15, 6848
122.084, 405.573, 1516.81, 5246
-121.84, 405.643, 715.487, 5304
-226.033, 358.155, 392.648, 5790
-403.497, 128.68, 556.888, 5789
-423.292, 13.6969, 1147.4, 3984
-423.513, -2.05255, 1153.78, 3984
-423.015, -21.6511, 1163.12, 3984
-412.217, -97.3048, 75.7419, 4471
-376.336, -194.32, 1628.74, 5159
-281.939, -316.033, 329.729, 5785
-207.415, -369.279, 706.73, 6520
-131.951, -402.434, 1152.33, 4587
-14.6618, -423.259, 478.727, 4587
-18.0944, -423.139, 1592.81, 6990
2.80416, -423.513, 467.872, 4587
225.191, -358.682, 1189.18, 5823
224.595, -359.055, 757.43, 5181
405.597, 121.999, -1631.84, 2253
377.625, 191.858, -1319.7, 2113
370.539, 205.233, -1331.15, 2113
365.898, 213.27, -1522.8, 461
308.429, 290.282, -161.175, 7148
281.925, 316.046, -1439.77, 3035
216.462, 364.055, -1483.83, 2113
202.832, 371.81, -1496.54, 2113
121.84, 405.643, -926.38, 1944
121.84, 405.643, -892.356, 1944
-198.416, 374.158, -1367.08, 2099
-285.01, 313.268, -1067.89, 410
-414.283, -87.9344, -1286.58, 2079
-412.819, -94.821, -1466.54, 2079
