# format: x, y, z, (trackId)+
410.975, -57.3886, 17.009, 4698
413.283, -37.7301, 553.474, 177
413.693, -32.6386, 5.09303, 4698
413.498, -35.4358, 1634.42, 170
413.7, -32.5489, 1516.11, 8691
413.905, -29.6201, 1496.06, 8691
413.938, -29.1444, 791.899, 173
414.044, -27.6249, 197.187, 932
413.922, -29.3687, 78.5276, 1042
414.055, -27.4698, 1478.69, 8691
414.739, -13.641, 1042.24, 4889
414.962, -2.41002, 1039.73, 4889
414.962, -4.03363, 633.178, 609
414.962, 6.23369, 19.1913, 496
414.962, 3.17718, 804.467, 3193
414.568, 18.5318, 1036.44, 4889
414.939, 7.92138, 768.515, 3193
414.504, 20.376, 769.243, 3193
414.652, 16.1297, 1515.61, 176
414.655, 16.0614, 1494.75, 176
414.512, 20.1359, 1416.79, 3752
414.261, 24.5157, 620.453, 543
413.479, 35.7086, 612.561, 543
414.383, 22.7805, 198.754, 586
412.892, 41.4444, 1031.7, 4889
413.36, 36.994, 1586.71, 2464
412.965, 40.7485, 582.501, 9919
412.487, 45.2976, 655.667, 788
384.822, 155.26, 121.244, 228
373.443, 180.93, 575.493, 1900
370.424, 187.119, 1182.23, 182
371.277, 185.37, 1140.29, 114
365.289, 196.883, 566.707, 1900
369.624, 188.732, 1161.64, 182
359.734, 206.847, 1236.34, 1319
360.126, 206.168, 1111.05, 1321
359.471, 207.303, 801.155, 490
344.215, 231.754, 1621.65, 45
340.43, 237.367, 272.082, 993
340.547, 237.193, 204.623, 768
337.45, 241.516, 830.226, 12
329.025, 252.878, 259.326, 481
330.658, 250.788, 67.5536, 467
249.156, 331.9, 728.534, 9873
246.827, 333.592, 1108.91, 1320
231.668, 344.273, 63.5552, 880
224.223, 349.204, 1328.17, 6116
224.73, 348.888, 751.315, 980
224.826, 348.828, 278.407, 753
212.671, 356.372, 802.493, 193
204.635, 361.012, 89.8826, 492
200.843, 363.184, 1398.62, 956
196.583, 365.449, 979.376, 815
196.509, 365.488, 962.316, 815
192.097, 367.834, 974.623, 815
192.097, 367.834, 958.429, 815
177.526, 375.103, 1472.21, 9924
172.573, 377.399, 667.082, 94
169.702, 378.677, 529.689, 628
47.6499, 412.24, 692.346, 536
44.3907, 412.583, 679.329, 536
36.1859, 413.445, 1431.71, 9464
33.104, 413.661, 1466.44, 9464
24.2289, 414.282, 279.5, 7760
27.3682, 414.062, 1454.32, 9464
17.5826, 414.601, 979.567, 154
-6.68884, 414.962, 1635.55, 3565
-12.2217, 414.789, 38.798, 679
-12.6307, 414.774, 488.344, 239
-15.0644, 414.689, 363.887, 3963
