# format: x, y, z, (trackId)+
411.862, -51.0755, 620.389, 7399
414.962, 3.63608, 1336.62, 4412
379.836, 167.098, 1158.26, 4000
237.154, 340.573, 1427.39, 7930
211.822, 356.862, 346.64, 5674
-49.8948, 412.004, 1018.93, 4703
-186.046, 370.947, 998.96, 7816
-202.818, 362.06, 1636.95, 5399
-337.579, 241.339, 1114.02, 7847
-344.873, -230.779, 1340.24, 7525
-44.0964, -412.614, 1128.79, 4735
45.6123, -412.454, 1014.82, 4274
157.444, -383.94, 633.897, 1342
158.196, -383.636, 1213.52, 6270
167.797, -379.525, 585.125, 1342
177.47, -375.13, 824.579, 3828
214.769, -355.112, 396.174, 1342
227.646, -346.986, 338.069, 1342
376.207, -175.249, 1157.2, 4143
414.646, -16.3066, -1347.9, 2496
414.66, 15.8958, -775.95, 440
412.845, 41.8927, -1384.9, 2159
412.434, 45.8073, -997.613, 2159
411.547, 53.3188, -1376.57, 2159
411.013, 57.122, -993.843, 2159
377.795, 171.682, -981.411, 603
374.363, 179.043, -667.239, 2159
367.585, 192.565, -664.787, 2159
363.893, 199.51, -663.196, 2159
336.153, 243.302, -1264.26, 5058
335.39, 244.352, -928.638, 2159
328.916, 253.018, -1261.88, 5058
49.4356, 412.052, -1289.22, 1464
37.345, 413.323, -760.791, 2888
21.5529, 414.463, -672.385, 4983
0.62705, 414.962, -1424.42, 1460
-212.722, 356.342, -1543.37, 414
-221.821, 350.706, -1317.66, 2529
-335.233, 244.568, -581.068, 2679
-345.026, 230.553, -264.104, 4735
-351.988, 219.769, -1246.29, 2247
-414.006, 28.17, -1587.04, 1402
-414.884, 9.48388, -923.829, 1869
-349.511, -223.733, -1127.35, 3607
-337.533, -241.402, -862.848, 571
-209.508, -358.198, -1490.39, 2542
-196.772, -365.348, -93.9022, 4735
-192.359, -367.695, -990.897, 606
22.6199, -414.394, -1569.79, 1838
197.925, -364.735, -1135.02, 3368
195.322, -366.12, -817.546, 2493
239.566, -338.867, -1533.21, 821
342.595, -234.156, -1418.11, 817
351.23, -220.982, -1142.57, 429
367.353, -193.003, -909.353, 4983
370.022, -187.944, -1591.62, 2139
382.992, -159.791, -1499.83, 1748
317.072, 274.346, 760.605, 7306
154.855, 389.597, 1032.05, 4419
141.348, 394.697, 1161.1, 7023
-67.1636, 413.862, 1022.48, 4703
-274.163, 317.226, 1317.64, 4735
-327.103, 262.281, 130.447, 4735
-393.172, 145.536, 1219.71, 5149
-396.812, 135.419, 1468.9, 5371
-413.869, 67.1249, 1626.27, 4771
-314.968, -276.733, 721.303, 4144
-145.974, -393.013, 517.847, 4982
150.672, -391.287, 673.822, 1342
267.34, -322.951, 1265.69, 7688
276.757, -314.946, 935.968, 6419
321.778, -268.737, 1017.82, 5437
415.103, -58.7313, -1234.14, 1469
413.767, 67.7042, -990.522, 2159
261.501, 327.713, -1180.75, 2839
-59.064, 415.057, -1439.11, 3342
-67.4254, 413.816, -1277.29, 820
-322.034, 268.432, -982.505, 1509
-412.017, 77.6283, -14.4718, 2469
-413.568, 68.8301, -771.288, 463
-411.151, -82.107, -933.633, 1410
-392.657, -146.951, -1617.41, 1475
68.9036, -413.555, -1569.11, 3347
423.456, 9.01406, 1332.9, 4412
