# format: x, y, z, (trackId)+
414.057, -27.4401, 1006.36, 4826
414.481, 21.3711, 16.8551, 545
410.99, 57.2807, 15.85, 546
361.703, 203.437, 1451.78, 4486
353.403, 217.504, 150.449, 440
349.385, 223.934, 1433.15, 5564
339.112, 239.228, 108.97, 411
338.303, 240.342, 1631.11, 6501
338.487, 240.09, 1464.89, 6713
228.244, 346.583, 913.686, 4886
205.297, 360.629, 1323.24, 6742
208.081, 359.022, 1047.43, 4056
209.406, 358.257, 953.216, 3816
197.895, 364.752, 1323.06, 6742
188.419, 369.79, 1323.34, 6742
168.267, 379.316, 1428.94, 6225
8.99287, 414.901, 1455.37, 6887
0.716515, 414.962, 1586.35, 5767
-7.75988, 414.944, 1454.38, 6887
-28.1791, 414.005, 1452.49, 6887
-31.3623, 413.783, 418.539, 3815
-44.3451, 412.587, 1450.8, 6887
-238.669, 339.519, 1601.32, 6605
-238.124, 339.914, 590.585, 5552
-246.001, 334.192, 223.782, 4062
-361.888, 203.117, 1512.15, 6614
-362.614, 201.859, 124.246, 404
-414.962, 6.91092, 446.269, 3820
-334.203, -245.985, 737.863, 3819
-328.217, -253.912, 773.485, 504
-237.504, -340.336, 218.369, 462
-237.731, -340.184, 1529.16, 6609
-220.607, -351.464, 216.031, 463
-216.306, -354.152, 582.025, 4883
-213.716, -355.769, 428.394, 2246
-210.283, -357.75, 433.959, 2246
-180.954, -373.431, 447.787, 2246
-171.836, -377.727, 452.14, 2246
-54.1569, -411.429, 519.08, 2246
13.1921, -414.755, 124.158, 2246
24.7072, -414.248, 760.732, 3802
28.9837, -413.949, 375.524, 5336
41.8415, -412.85, 1548.73, 5336
45.6739, -412.448, 950.755, 5336
41.8059, -412.854, 212.649, 420
354.008, -216.536, 82.4057, 412
359.821, -206.696, 1632.12, 5281
412.963, -40.769, -1345.91, 1686
382.999, 159.772, -811.391, 2787
360.951, 204.74, -881.318, 2785
355.165, 214.684, -811.573, 3259
352.541, 218.884, -1361.57, 2121
184.832, 371.539, -1448.4, 1516
23.8659, 414.307, -992.412, 2497
-162.81, 381.745, -1109.02, 2138
