# format: x, y, z, (trackId)+
414.19, -25.5353, 260.759, 603
378.937, 169.119, 859.532, 6211
371.203, 185.523, 819.561, 4814
361.518, 203.758, 1301.61, 6701
349.588, 223.61, 1462.26, 5322
330.162, 251.423, 1630.77, 4521
252.257, 329.51, 1512.56, 5215
46.3487, 412.377, 866.821, 4330
-6.00999, 414.962, 1451.79, 6544
-172.549, 377.409, 834.878, 4323
-201.71, 362.7, 1408.97, 6269
-237.813, 340.141, 1491.25, 4322
-251.527, 330.081, 594.559, 405
-329.238, 252.606, 1471.52, 6670
-336.805, 242.404, 440.744, 1874
-345.394, 230.006, 1296.59, 1874
-373.14, 181.551, 17.281, 394
-379.641, 167.537, 676.793, 5434
-381.477, 163.412, 497.806, 4087
-381.657, 163.008, 874.783, 6669
-383.605, 158.274, 41.3692, 4330
-414.372, 22.929, 969.254, 4330
-414.962, -0.977793, 724.53, 4330
-366.384, -194.824, 149.388, 3590
-345.547, -229.78, 1451.57, 6673
-342.512, -234.28, 768.51, 4454
-341.942, -235.123, 320.323, 3590
-328.74, -253.243, 1310.57, 4776
-254.868, -327.47, 633.491, 6260
-252.681, -329.179, 1170.84, 4345
-253.11, -328.844, 767.43, 6260
-253.401, -328.616, 895.506, 6260
-247.648, -332.995, 610.239, 6260
-249.25, -331.831, 495.25, 6260
-248.41, -332.441, 752.62, 6260
-243.178, -336.243, 759.477, 6260
-243.178, -336.243, 744.611, 6260
-222.015, -350.584, 1581.01, 6255
-222.907, -350.027, 738.018, 4337
-209.924, -357.958, 1553.45, 6255
-210.224, -357.784, 598.079, 7241
-204.266, -361.224, 277.121, 2579
-213.976, -355.618, 271.743, 2579
-192.738, -367.493, 1520.15, 6255
-196.509, -365.488, 268.535, 2579
-196.509, -365.488, 254.208, 2579
-178.543, -374.607, 1498.45, 6255
-167.797, -379.525, 1480.8, 6255
-162.522, -381.888, 1467.45, 6255
-56.0271, -411.166, 990.693, 6984
-9.37964, -414.888, 1220.53, 6255
41.6036, -412.876, 1123.88, 6255
57.5546, -410.952, 1092.66, 6255
51.5228, -411.8, 755.877, 6209
168.578, -379.177, 568.271, 4080
176.858, -375.429, 1077.51, 1874
198.289, -364.542, 216.358, 1874
331.157, -250.149, 1144.04, 5435
336.052, -243.441, 625.324, 7245
368.619, -190.621, 1435.67, 4318
382.69, -160.537, 1439.28, 5494
414.752, -13.2678, -1346.61, 2921
344.216, 231.753, -32.5838, 604
169.608, 378.719, -1531.66, 3006
-174.419, 376.577, -263.688, 4330
-183.352, 372.261, -262.007, 4330
-192.818, 367.451, -329.79, 4330
-197.092, 365.178, -13.9132, 4330
-334.81, 245.149, -498.077, 1874
-349.875, 223.151, -343.153, 4330
-361.45, 203.875, -209.955, 4330
-366.18, 195.209, -209.494, 4330
-384.166, -156.885, -916.647, 3590
-375.523, -176.665, -365.721, 3590
-250.375, -330.981, -591.113, 6260
-247.201, -333.32, -8.9535, 6260
-224.167, -349.24, -198.428, 414
-169.633, -378.708, -0.876441, 4337
-173.247, -377.099, -1280.72, 2104
-155.783, -384.611, -428.624, 4337
-41.546, -412.882, -851.958, 4337
-48.8308, -412.116, -1282.51, 3590
-19.3908, -414.538, -1326.26, 4337
6.30905, -414.962, -1316.09, 4337
10.5075, -414.849, -882.022, 290
22.6916, -414.389, -1308.84, 4337
156.189, -384.447, -1001.16, 2397
159.551, -383.089, -1446.8, 3478
160.537, -382.69, -806.453, 4337
160.537, -382.69, -764.549, 4337
170.956, -378.118, -1080.49, 1839
191.439, -368.184, -920.673, 2417
197.371, -365.03, -707.339, 1874
216.169, -354.237, -1167.83, 1703
247.769, -332.907, -243.302, 4337
248.167, -332.618, -274.181, 4337
253.2, -328.773, -1476.25, 3053
251.521, -330.085, -296.887, 4337
347.21, -227.314, -513.349, 3222
415.002, -59.4507, 1480.99, 6700
390.34, 153.016, 1245.06, 5212
319.877, 271.003, 1076.46, 4130
260.902, 328.181, 1273.47, 6619
68.2753, 413.666, 343.436, 426
-146.973, 392.649, 1371.98, 4532
-148.474, 392.103, 252.534, 4330
-319.267, 271.731, 1107.14, 4813
-322.792, 267.53, 714.523, 6587
-391.078, 151.189, 42.4651, 4330
-393.126, 145.664, 43.7036, 4330
-411.19, 81.9257, 377.391, 4330
-413.795, 67.5446, 381.866, 4330
-414.335, 64.1973, 239.3, 205
-389.873, -154.172, 1164.63, 7244
-153.195, -390.267, 1447.14, 6255
-80.7372, -411.442, 1441.27, 5222
