# format: x, y, z, (trackId)+
413.93, -29.252, 660.899, 6810
414.962, -0.200415, 1138.27, 5563
366.878, 193.896, 1385.68, 6628
355.826, 213.628, 346.751, 4120
345.766, 229.454, 767.23, 4120
330.301, 251.245, 734.302, 4612
162.533, 381.884, 169.794, 4119
51.5964, 411.789, 1313.55, 5654
-12.962, 414.763, 1142.44, 5414
-23.2155, 414.352, 518.459, 5414
-34.9267, 413.533, 215.138, 4129
-41.4584, 412.891, 213.424, 4129
-204.209, 361.257, 170.706, 4129
-233.935, 342.744, 1632.33, 3986
-373.734, 180.332, 566.714, 6408
-375.355, 177.009, 582.851, 6408
-413.307, 37.4993, 1025.11, 5432
-414.962, -3.37028, 240.81, 6093
-414.394, -22.6272, 794.126, 1280
-411.927, -50.6142, 40.9254, 3175
-411.308, -55.0231, 175.018, 3175
-357.854, -210.104, 1573.77, 4498
-332.314, -248.585, 1592.43, 5232
-201.619, -362.753, 1103.89, 5040
-189.815, -369.048, 547.296, 5040
-180.858, -373.478, 1250.69, 4546
-51.6989, -411.775, 1222.12, 6673
-30.5637, -413.839, 1002.22, 6212
27.2227, -414.072, 1131.79, 6223
35.0909, -413.522, 881.412, 4120
42.7752, -412.752, 1300.05, 5782
54.5037, -411.381, 428.808, 4120
254.399, -327.837, 62.5767, 4133
344.687, -231.054, 864.721, 5040
347.157, -227.392, 321.499, 1281
372.528, -182.805, 1306.28, 5040
414.702, -14.7159, -1349.76, 4120
414.12, 26.5396, -1183.73, 2721
410.905, 57.8864, -1628.46, 1619
377.818, 171.63, -65.9386, 4120
372.415, 183.037, -462.475, 622
337.115, 241.978, -841.264, 2399
250.299, 331.04, -560.617, 3176
241.522, 337.446, -326.532, 3176
239.155, 339.166, -358.217, 3176
222.042, 350.567, -255.849, 3176
208.415, 358.829, -8.66161, 3176
174.169, 376.688, -270.48, 6330
46.3399, 412.378, -1105.46, 3142
20.0481, 414.515, -415.654, 3667
-13.096, 414.758, -1604.19, 3793
-43.824, 412.642, -1178.89, 2672
-44.6413, 412.556, -183.016, 3667
-180.342, 373.729, -453.921, 1855
-190.884, 368.479, -1323.27, 6093
-197.416, 365.006, -1417.7, 4119
-207.895, 359.129, -205.449, 3176
-228.085, 346.69, -348.95, 3176
-230.976, 344.74, -318.983, 3176
-233.262, 343.198, -1086.13, 4119
-247.57, 333.051, -638.537, 4119
-252.858, 329.041, -488.732, 3176
-343.515, 232.792, -1421.49, 3175
-353.697, 217.034, -1177, 3175
-365.144, 197.156, -888.021, 3175
-380.597, 165.39, -21.591, 3667
-380.534, 165.53, -1464.69, 1108
-414.129, 26.4168, -415.974, 3175
-414.962, 5.9124, -1274.07, 1529
-414.962, 5.44163, -69.5517, 1280
-414.473, -21.2609, -215.307, 3175
-413.432, -36.3047, -1184.65, 2720
-349.928, -223.066, -1553.73, 625
-351.085, -221.215, -338.805, 3175
-349.465, -223.807, -1469.92, 617
-345.471, -229.892, -1525.06, 625
-346.425, -228.477, -1346.6, 3607
-343.329, -233.067, -1627.59, 625
-183.205, -372.333, -669.779, 614
-177.625, -375.055, -974.455, 3175
-19.6341, -414.53, -302.846, 5040
19.2773, -414.542, -1081.96, 2742
24.6708, -414.251, -1380.9, 714
30.2644, -413.859, -1018.15, 1973
46.7355, -412.336, -1617.26, 551
159.078, -383.28, -605.781, 3796
155.947, -384.545, -1568.27, 2674
157.519, -383.91, -1554.21, 2674
171.616, -377.825, -615.211, 3796
178.662, -374.549, -597.083, 5040
