# format: x, y, z, (trackId)+
410.956, -57.524, 500.454, 574
413.773, -31.5013, 1626.3, 7658
414.962, -5.03886, 1482.78, 7449
414.183, 25.6405, 1309.96, 420
413.809, 30.9834, 1289.53, 420
413.511, 35.2438, 284.553, 512
375.124, 177.482, 864.314, 8372
375.468, 176.777, 296.352, 496
370.315, 187.344, 721.988, 7828
371.176, 185.577, 260.844, 489
365.047, 197.34, 138.223, 481
363.696, 199.879, 92.8923, 442
357.863, 210.088, 1199.82, 491
357.699, 210.372, 925.177, 8339
354.783, 215.296, 1587.5, 7458
344.496, 231.338, 354.303, 8339
340.975, 236.557, 95.7082, 400
340.381, 237.438, 881.238, 8268
337.689, 241.187, 647.835, 80
330.247, 251.314, 866.599, 6399
254.72, 327.586, 1191.51, 588
203.716, 361.542, 786.03, 580
185.291, 371.316, 1045.55, 570
180.497, 373.654, 527.872, 506
55.4872, 411.242, 701.059, 7644
45.9063, 412.423, 764.981, 1379
40.2888, 413.014, 746.197, 1379
19.3501, 414.54, 160.696, 1307
7.45951, 414.962, 847.678, 7406
-1.81476, 414.962, 1192.2, 7390
-5.75409, 414.962, 1173.64, 1306
-13.9107, 414.73, 1406.45, 7644
-7.60934, 414.95, 491.324, 7389
-55.3085, 411.267, 4.39025, 486
-160.457, 382.722, 317.059, 7626
-193.185, 367.256, 490.657, 1062
-208.551, 358.75, 505.624, 1062
-202.712, 362.121, 435.686, 437
-212.435, 356.508, 117.474, 8339
-225.154, 348.623, 706.211, 8339
-240.594, 338.12, 1609.42, 7935
-239.389, 338.995, 1272.44, 8339
-357.326, 211.018, 133.522, 438
-365.763, 195.992, 1611.07, 6130
-367.501, 192.723, 956.278, 1270
-369.732, 188.539, 981.362, 1270
-374.319, 179.132, 552.854, 571
-376.697, 174.148, 565.696, 571
-384.094, 157.063, 120.68, 1129
-411.045, 56.8943, 1173.02, 6135
-411.999, 49.9476, 960.006, 440
-412.252, 47.5348, 50.0269, 536
-414.342, 23.3666, 1299.52, 6133
-414.486, 20.8761, 313.277, 7644
-414.515, 20.0676, 580.188, 567
-414.962, -1.45058, 877.267, 550
-414.141, -26.2427, 59.4545, 449
-412.723, -43.0506, 1329.04, 8291
-412.327, -46.8269, 538.526, 485
-379.472, -167.915, 412.764, 1424
-380.137, -166.422, 1611.93, 6510
-362.556, -201.96, 1395.62, 1621
-343.253, -233.181, 831.646, 454
-222.326, -350.39, 1315.93, 551
-225.606, -348.34, 1590.5, 6129
-224.257, -349.184, 849.609, 7827
-217.786, -353.227, 926.405, 523
-205.599, -360.455, 1191.02, 5749
-203.128, -361.881, 1054.73, 7626
-198.907, -364.213, 1452.98, 7952
-171.889, -377.703, 1257.03, 23
-172.297, -377.522, 1235.72, 23
-51.788, -411.762, 1359.35, 7265
-51.4464, -411.81, 1267.76, 7265
-42.8637, -412.743, 1366.69, 7265
-46.6819, -412.342, 706.025, 7265
-48.2722, -412.175, 604.265, 7265
-50.6423, -411.926, 498.063, 7265
-39.555, -413.091, 510.511, 7265
-48.5135, -412.149, 403.158, 7265
-50.5274, -411.938, 298.702, 7265
-48.6921, -412.13, 202.783, 7265
-48.1572, -412.187, 9.61146, 7265
-47.4821, -412.258, 1567.38, 7265
-37.0104, -413.358, 1577.18, 7265
-46.1077, -412.402, 1465.86, 7265
-45.521, -412.464, 1162.22, 7265
-37.6001, -413.296, 1171.18, 7265
-39.4267, -413.104, 825.711, 7265
-44.809, -412.539, 106.148, 7265
-29.8726, -413.887, 1376.03, 7265
-35.928, -413.463, 1279.14, 7265
-36.0238, -413.457, 719.491, 7265
-34.5485, -413.56, 417.58, 7265
-26.1085, -414.15, 326.079, 7265
-30.1788, -413.865, 221.791, 7265
-31.8328, -413.75, 22.9794, 7265
-23.0558, -414.364, 1589.36, 7265
-30.0289, -413.876, 1477.45, 7265
-33.3206, -413.646, 1059.27, 7265
-29.1972, -413.934, 123.857, 7265
-31.4876, -413.774, 940.691, 7265
19.4295, -414.537, 782.465, 7829
22.2653, -414.419, 46.243, 474
32.0577, -413.734, 1486.42, 245
47.0803, -412.3, 933.647, 6810
50.539, -411.938, 1464.91, 903
174.911, -376.357, 1017.94, 8270
174.148, -376.697, 125.714, 5302
180.463, -373.67, 154.771, 5302
190.434, -368.719, 889.183, 7392
220.444, -351.566, 912.512, 7392
218.895, -352.534, 1315.89, 5489
232.114, -343.973, 116.12, 487
366.721, -194.19, 734.226, 355
371.613, -184.681, 11.3539, 559
412.967, -40.7372, -1457.42, 5188
412.83, -42.0343, -1631.23, 4660
413.351, -37.0752, -587.557, 263
413.658, -33.1441, -349.842, 478
414.395, -22.6017, -1559.01, 4831
413.161, 38.8877, -1262.63, 197
413.39, 36.7056, -409.971, 475
410.958, 57.5089, -1074.09, 2092
349.422, 223.875, -262.198, 401
347.731, 226.542, -1543.66, 766
344.789, 230.903, -836.37, 583
342.036, 234.984, -812.841, 583
342.728, 233.959, -606.192, 402
335.501, 244.2, -1506.84, 510
335.134, 244.704, -1490.89, 510
240.801, 337.969, -45.4439, 493
229.103, 346.003, -62.9604, 329
216.434, 354.072, -271.493, 522
184.945, 371.484, -1502.76, 3913
187.628, 370.176, -1479.83, 3913
183.145, 372.362, -1474.51, 3913
173.497, 376.987, -1025.47, 3100
161.454, 382.32, -1098.47, 4832
53.3001, 411.55, -126.824, 764
37.7369, 413.282, -703.121, 7408
42.4773, 412.784, -685.453, 7408
31.0379, 413.805, -730.493, 8034
10.384, 414.853, -643.099, 1168
5.73692, 414.962, -207.395, 7406
-5.29046, 414.962, -55.4111, 7406
-33.4182, 413.639, -587.654, 7406
-34.2599, 413.58, -994.525, 4157
-48.8017, 412.119, -244.177, 7406
-49.7428, 412.02, -217.498, 447
-51.6561, 411.781, -136.658, 7406
-53.1904, 411.565, -67.5429, 1622
-167.016, 379.873, -788.85, 1168
-166.067, 380.295, -1177.11, 8339
-168.419, 379.248, -561.767, 8339
-176.016, 375.839, -1552.83, 3525
-244.636, 335.183, -801.266, 1168
-248.354, 332.482, -574.947, 480
-327.232, 255.172, -406.879, 4440
-340.764, 236.871, -564.151, 534
-342.799, 233.853, -81.1187, 573
-353.784, 216.895, -1363.23, 2643
-359.422, 207.388, -1365.65, 2643
-357.822, 210.16, -690.57, 1168
-380.27, 166.125, -683.431, 1168
-380.967, 164.558, -649.711, 1168
-382.971, 159.843, -241.289, 430
-414.962, -2.20781, -46.791, 5893
-414.962, -4.75702, -1637.03, 521
-414.962, -6.50599, -1611.99, 521
-414.857, -10.2666, -680.959, 43
-414.802, -11.8327, -1470.85, 2957
-414.686, -15.1536, -972.223, 3523
-413.926, -29.3173, -1402.93, 2643
-413.908, -29.5658, -748.142, 241
-412.946, -40.9336, -1404.85, 2643
-413.094, -39.5229, -1295.68, 2154
-413.079, -39.6703, -1102.18, 4155
-383.839, -157.694, -1044.67, 1376
-376.501, -174.589, -430.277, 569
-366.289, -195.003, -90.9392, 345
-348.18, -225.876, -1565.45, 3870
-347.174, -227.368, -318.157, 528
-337.049, -242.069, -141.251, 1180
-247.548, -333.068, -1570.79, 2408
-230.426, -345.111, -61.4768, 459
-219.705, -352.028, -530.413, 3693
-204.486, -361.097, -987.057, 541
-185, -371.458, -893.512, 826
-171.242, -377.991, -372.684, 3917
-167.802, -379.523, -1637.11, 4882
-157.471, -383.929, -45.8848, 531
-56.2404, -411.137, -237.305, 7265
-53.9282, -411.461, -539.137, 7265
-55.8268, -411.195, -307.007, 529
-52.476, -411.666, -131.93, 7265
-37.4893, -413.308, -530.988, 7265
-49.0195, -412.096, -364.914, 7265
-50.3042, -411.961, -801.528, 7265
-36.7094, -413.39, -793.393, 7265
-48.0154, -412.202, -471.514, 511
-47.8944, -412.214, -416.766, 7265
-41.7697, -412.858, -176.04, 7265
-38.1084, -413.243, -122.466, 7265
-46.5391, -412.357, -66.6155, 7265
-42.3679, -412.795, -854.782, 7265
-40.931, -412.946, -727.974, 7265
-40.6998, -412.971, -662.459, 7265
-47.1171, -412.296, -598.54, 7265
-42.748, -412.755, -1009.55, 7265
-41.3264, -412.905, -1087.12, 7265
-40.6265, -412.978, -926.526, 7265
-30.8737, -413.817, -226.275, 7265
-35.9433, -413.462, -358.285, 7265
-36.5332, -413.421, -293.733, 7265
-34.746, -413.546, -464.604, 7265
-25.7571, -414.175, -49.5999, 7265
-35.5627, -413.489, -589.954, 7265
-35.1031, -413.521, -438.444, 511
-5.68161, -414.962, -702.95, 3606
7.52191, -414.953, -326.977, 555
20.2433, -414.509, -121.499, 1772
48.6759, -412.132, -274.862, 1711
209.086, -358.441, -381.454, 3696
224.1, -349.282, -1614.66, 4206
233.819, -342.822, -768.473, 428
238.24, -339.83, -1337.48, 409
246.654, -333.717, -1346.55, 409
241.987, -337.108, -883.018, 2967
245.625, -334.465, -124.396, 549
250.229, -331.094, -363.481, 1279
328.963, -252.958, -996.982, 525
330.579, -250.889, -1012.91, 525
339.558, -238.615, -1449.58, 3870
339.603, -238.553, -419.747, 479
346.552, -228.29, -1202.47, 1786
355.03, -214.901, -996.972, 3695
358.796, -208.473, -823.798, 3693
377.786, -171.703, -1071.43, 1780
378.505, -170.087, -697.168, 295
379.902, -166.951, -408.023, 4439
412.037, -77.5122, 101.324, 508
327.647, 261.586, 1378.13, 66
324.734, 265.215, 1401.91, 66
320.38, 270.404, 402.626, 6617
143.275, 393.996, 1220.46, 5743
143.298, 393.987, 129.62, 457
137.081, 396.25, 1445.19, 5753
-64.9608, 414.228, 539, 445
-135.064, 396.927, 1268.93, 516
-259.979, 328.902, 618.571, 544
-275.897, 315.721, 247.795, 7406
-326.025, 263.662, 269.728, 7062
-414.986, -59.5681, 1335.3, 8291
-415.006, -59.4241, 1223.05, 6409
-397.121, -134.469, 1536.91, 17
-396.071, -137.573, 1514.56, 17
-396.408, -136.645, 960.472, 6599
-395.832, -138.228, 498.954, 448
-266.759, -323.438, 879.42, 7747
-259.532, -329.252, 185.098, 589
-142.963, -394.109, 184.737, 483
-135.166, -396.894, 890.171, 500
-80.1686, -411.569, 259.936, 473
-64.8858, -414.238, 1016.1, 121
62.089, -414.632, 1064.38, 6810
61.5374, -414.709, 1215.26, 6810
69.7481, -413.406, 882.889, 6810
76.202, -412.268, 1041.17, 6810
78.2267, -411.911, 1350.19, 6810
77.2285, -412.087, 389.251, 1116
137.29, -396.174, 563.546, 59
392.843, -146.442, 245.182, 561
414.339, -64.1725, -1111.86, 4158
327.537, 261.727, -1592.71, 5139
327.527, 261.739, -226.48, 548
321.591, 268.961, -906.437, 8339
315.46, 276.187, -258.61, 8339
268.689, 321.819, -1451.63, 8339
270.694, 320.137, -1344.79, 564
265.465, 324.524, -1316.03, 564
260.542, 328.462, -1295.8, 564
150.677, 391.285, -1507.73, 1428
145.207, 393.292, -1085.25, 393
142.825, 394.159, -131.962, 538
69.1895, 413.505, -1512.28, 4567
67.402, 413.82, -715.41, 1168
-64.8343, 414.246, -654.318, 1168
-70.41, 413.29, -71.615, 1622
-71.3714, 413.12, -655.251, 1168
-65.5394, 414.149, -103.531, 7406
-70.3836, 413.294, -50.5946, 1622
-140.3, 395.078, -456.004, 527
-150.294, 391.44, -786.849, 1168
-258.761, 329.854, -802.915, 1168
-270.549, 320.258, -1170.92, 3556
-323.62, 266.543, -59.5113, 147
-391.703, 149.574, -658.189, 1168
-391.938, 148.926, -89.5546, 824
-396.377, 136.758, -1193.31, 3609
-412.006, 77.6927, -1598.84, 229
-412.542, 74.6488, -1574.62, 229
-413.765, 67.7122, -652.812, 535
-414.639, 62.0365, -807.389, 495
-414.307, -64.3949, -21.7474, 513
-412.884, -72.7123, -402.395, 460
-390.679, -152.175, -1559.27, 731
-389.543, -154.988, -1528.82, 731
-320.658, -270.072, -830.539, 498
-317.499, -273.837, -1029.71, 556
-316.652, -274.863, -1051.83, 556
-314.951, -276.753, -1505.1, 2157
-267.308, -322.977, -359.398, 3844
-264.01, -325.752, -1513.05, 4206
-134.204, -397.207, -1516.86, 5354
69.4313, -413.462, -335.981, 1179
328.871, -260.019, -1614.95, 3870
395.295, -139.705, -1343.76, 2314
396.976, -134.914, -1426.58, 2314
396.743, -135.631, -1399.72, 2314
397.121, -134.469, -1480.71, 2314
397.121, -134.469, -1453.96, 2314
397.121, -134.469, -1362.06, 2314
412.235, -97.2335, 1606.9, 8103
412.217, -97.3048, 310.57, 6753
423.513, -5.39509, 1482.15, 7449
415.091, 84.133, 1536.08, 7570
412.256, 97.1497, 204.047, 436
372.843, 200.888, 142.506, 481
371.618, 203.193, 93.3883, 442
365.523, 213.921, 1234.83, 491
363.384, 217.626, 1214.6, 6009
362.466, 219.135, 928.314, 8339
361.222, 221.126, 1590.65, 7458
363.022, 218.245, 1240.08, 491
290.194, 308.515, 1503.72, 8033
287.64, 310.9, 872.899, 8396
206.657, 369.717, 810.795, 580
122.623, 405.418, 1127.34, 5746
95.8898, 412.57, 1327.66, 8034
90.084, 413.826, 971.784, 6522
84.4121, 415.032, 1381.06, 6279
19.3056, 423.096, 165.342, 1307
10.389, 423.408, 836.037, 7406
0.626974, 423.513, 1212.07, 1306
-9.38387, 423.443, 490.747, 7389
-16.8507, 423.182, 1404.66, 7644
-93.8253, 413.031, 1597.06, 5440
-97.2616, 412.228, 470.336, 6623
-125.127, 404.651, 1566.58, 5440
-124.295, 404.922, 1409.54, 7348
-131.138, 402.698, 1288.82, 516
-207.574, 369.187, 449.463, 437
-209.449, 368.104, 110.482, 8339
-224.748, 358.959, 702.829, 8339
-289.318, 309.361, 1554.91, 5936
-363.711, 217.06, 137.902, 438
-374.118, 198.491, 1628.55, 6130
-377.745, 191.612, 988.123, 1270
-405.629, 121.887, 1519.75, 7571
-405.643, 121.84, 1037.84, 7351
-405.643, 121.84, 89.9276, 424
-412.237, 97.2236, 345.2, 464
-414.608, 86.4043, 1058.08, 7644
-423.088, 19.5352, 586.642, 567
-423.336, 12.4419, 593.201, 567
-423.336, 12.4419, 581.119, 567
-423.513, -4.84026, 899.114, 550
-414.207, -88.2923, 216.911, 8034
-412.263, -97.1212, 1064.11, 764
-405.58, -122.06, 1484.36, 5756
-404.754, -124.809, 1300.52, 4051
-370.855, -204.627, 1449.79, 1621
-370.468, -205.356, 1425.84, 1621
-308.545, -290.162, 996.198, 7565
-284.89, -313.376, 808.974, 182
-230.057, -355.642, 1606.37, 6129
-221.61, -360.919, 960.859, 523
-215.298, -364.728, 1048.94, 7626
-214.566, -365.15, 849.255, 7827
-208.782, -368.49, 1438.5, 7952
-210.35, -367.584, 1202.18, 5749
-134.569, -401.583, 1431.14, 7935
-128.481, -403.562, 130.619, 463
-121.904, -405.624, 931.789, 500
-93.0914, -413.187, 1631.53, 7432
-23.1986, -422.924, 1293.87, 7265
-22.5657, -422.983, 1185.46, 7265
-21.9306, -423.005, 1491.88, 7265
-22.3768, -422.989, 1386.76, 7265
-21.9502, -423.004, 36.3912, 7265
-18.2024, -423.135, 1596.01, 7265
19.0154, -423.107, 786.135, 7829
93.2439, -413.154, 1178.21, 6810
87.6683, -414.34, 1484, 6810
93.3011, -413.142, 951.816, 6417
92.0474, -413.409, 485.227, 446
97.3048, -412.217, 1335.59, 6810
95.4784, -412.672, 1475.5, 6810
95.2547, -412.728, 1628.6, 6810
193.997, -376.508, 889.717, 5764
223.05, -360.019, 1320.87, 5489
222.769, -360.195, 924.18, 7392
283.48, -314.645, 379.085, 6119
308.338, -290.377, 346.52, 584
374.132, -198.466, 754.176, 355
412.466, -96.3039, -756.224, 3613
413.601, -91.1435, -976.637, 7061
413.985, -89.3352, -1500.19, 429
414.388, -87.4424, -1476.72, 429
415.096, 84.1094, -67.6094, 490
413.037, 93.7966, -1352.65, 476
412.383, 96.6369, -858.143, 594
412.217, 97.3048, -1365.93, 476
357.491, 227.098, -1571.92, 766
356.306, 228.993, -267.548, 401
315.922, 282.063, -327, 411
