# format: x, y, z, (trackId)+
373.899, 179.994, 1262.3, 6539
359.43, 207.375, 868.269, 7220
340.199, 237.733, 1222.46, 4890
-200.747, 363.235, 397.478, 5419
-247.542, 333.072, 827.705, 5416
-361.959, 202.993, 1200.2, 4806
-412.308, 46.9987, 835.093, 399
-414.602, 17.556, 1277.55, 4207
-384.306, -156.539, 874.267, 4207
-384.64, -155.712, 682.326, 4207
-383.589, -158.314, 1038.93, 4207
-379.032, -168.905, 594.678, 7043
-370.874, -186.196, 1237.74, 5775
-193.124, -367.288, 1211.46, 7219
-37.9592, -413.259, 1444.92, 5902
51.4986, -411.803, 1360.74, 6640
53.8814, -411.468, 270.572, 395
164.84, -380.842, 1189.66, 2675
184.948, -371.483, 1051.03, 4976
347.909, -226.296, 114.281, 5124
412.852, -41.8282, -876.198, 246
367.884, 192.004, -1196.21, 3846
356.385, 212.648, -1317.92, 2115
350.132, 222.739, -1553.46, 2032
347.24, 227.27, -976.867, 2732
344.161, 231.835, -1116.2, 401
341.473, 235.82, -776.712, 2884
342, 235.038, -1617.63, 2032
342, 235.038, -1593.97, 2032
342, 235.038, -1573.69, 2032
332, 249.018, -979.412, 3310
253.685, 328.395, -1215.6, 2675
228.793, 346.213, -738.714, 400
204.918, 360.848, -1112.04, 2676
185.499, 371.214, -1104.82, 2676
156.525, 384.311, -1444.73, 1664
39.0997, 413.139, -1159.18, 2676
13.0229, 414.761, -1077.3, 2676
-13.4281, 414.747, -1146.32, 2676
-210.753, 357.479, -1087.17, 4176
-222.301, 350.406, -328.481, 3448
-230.913, 344.782, -333.974, 3448
-234.034, 342.677, -1218.03, 3217
-245.263, 334.728, -342.144, 3448
-347.312, 227.163, -416.879, 3448
-364.675, 198.038, -425.375, 3448
-371.611, 184.685, -433.188, 3448
-381.342, 163.716, -1563.76, 4286
-412.045, 49.5046, -535.16, 3308
-414.777, 12.562, -1558.99, 3579
-414.57, -18.4866, -1113.52, 722
-413.997, -28.2996, -1602.41, 583
-412.073, -49.2397, -259.043, 4207
-411.222, -55.6295, -596.333, 4207
-411.331, -54.8561, -1429.2, 4207
-382.836, -160.176, -148.321, 397
-377.54, -172.256, -1032.12, 3424
-371.512, -184.889, -385.222, 4207
-365.959, -195.624, -747.211, 4207
-361.422, -203.923, -1427.62, 3270
-348.772, -224.915, -1178.63, 4207
-249.069, -331.963, -630.024, 1130
-225.605, -348.341, -1543.14, 2320
-180.422, -373.69, -1033.16, 725
-53.7638, -411.485, -1341.85, 3436
40.3914, -413.003, -826.688, 4928
158.988, -383.316, -1490.68, 3435
158.699, -383.433, -1620.29, 2516
171.456, -377.896, -1516.7, 3435
187.734, -370.124, -1598.75, 2012
341.311, -236.059, -1149.34, 2844
343.382, -232.99, -338.538, 3512
357.836, -210.135, -1478.73, 4175
321.703, 268.827, 1339.96, 2675
-143.919, 393.761, 828.276, 5655
-412.069, 77.3358, 1397.61, 37
-412.069, 77.3358, 1385.96, 37
-413.123, 71.3531, 1376.37, 37
-414.614, -62.2141, 1267.99, 4207
-414.526, -62.8384, 1111.37, 4207
-414.315, -64.3437, 819.823, 4207
-412.774, -73.3348, 1269.84, 5565
-414.059, -66.0479, 1024.03, 4207
-413.234, -70.7254, 736.168, 4207
-413.354, -70.0447, 1538.48, 4207
-413.386, -69.8629, 1471.11, 4207
-413.368, -69.9678, 1403.93, 4207
-413.787, -67.5909, 1328.95, 4207
-414.08, -65.9308, 1193.69, 4207
-413.359, -70.0176, 920.607, 4207
-413.652, -68.3527, 627.327, 4207
-413.95, -66.6676, 536.773, 4207
-413.5, -69.2188, 453.416, 4207
-413.134, -71.2939, 356.054, 4207
-413.162, -71.1368, 251.984, 4207
-411.715, -79.3433, 263.035, 4207
-412.753, -73.4565, 144.514, 4207
-413.017, -71.9592, 30.6923, 4207
-412.938, -72.4059, 1504.96, 4207
-412.556, -74.5697, 1242.54, 4207
-412.794, -73.2201, 1084.4, 4207
-412.856, -72.8698, 282.276, 4207
-412.466, -75.0807, 1636.95, 4207
