# format: x, y, z, (trackId)+
413.577, -34.2982, 1126.36, 4176
414.962, -2.00215, 382.448, 5442
413.349, 37.0973, 151.065, 411
411.767, 51.7552, 1367.7, 5893
384.339, 156.456, 575.632, 704
384.386, 156.34, 38.538, 704
381.601, 163.134, 407.189, 704
377.448, 172.463, 587.788, 704
380.692, 165.176, 232.398, 704
377.237, 172.936, 52.8635, 704
380.197, 166.288, 738.093, 704
377.806, 171.658, 916.162, 704
380.923, 164.656, 424.876, 704
377.709, 171.876, 420.663, 704
373.397, 181.024, 249.291, 704
371.175, 185.579, 753.445, 704
375.558, 176.594, 1261.42, 7154
373.268, 181.288, 1012.76, 5744
367.906, 191.962, 602.418, 704
365.594, 196.31, 266.022, 704
369.402, 189.148, 65.4589, 704
367.857, 192.054, 434.618, 704
337.119, 241.972, 844.226, 4175
252.791, 329.093, 85.5592, 415
232.222, 343.899, 431.655, 4122
224.437, 349.071, 761.352, 6545
155.377, 384.775, 200.897, 400
-4.97088, 414.962, 1275.23, 6538
-157.119, 384.071, 1513.9, 5031
-225.966, 348.119, 412.986, 422
-330.905, 250.472, 1379.31, 858
-336.629, 242.647, 53.1244, 451
-342.297, 234.597, 1446.17, 6269
-366.308, 194.968, 1340.23, 6269
-366.79, 194.062, 1176.36, 6269
-366.353, 194.883, 1100.55, 6269
-373.332, 181.157, 270.291, 426
-375.644, 176.416, 707.453, 4329
-377.222, 172.969, 632.608, 4329
-376.431, 174.747, 490.721, 4329
-376.342, 174.946, 347.79, 3074
-376.697, 174.148, 853.259, 4329
-376.697, 174.148, 828.453, 4329
-376.697, 174.148, 800.953, 4329
-376.697, 174.148, 740.453, 4329
-376.697, 174.148, 591.953, 4329
-414.03, 27.8261, 1626.75, 6899
-414.962, 7.5, 1602.44, 4805
-414.582, -18.1442, 424.451, 4579
-414.193, -25.4969, 394.07, 4579
-412.294, -47.1321, 330.478, 4579
-383.427, -158.715, 822.11, 5128
-383.906, -157.529, 63.9023, 951
-383.529, -158.46, 45.0504, 951
-352.693, -218.64, 1218.67, 5897
-345.957, -229.172, 1057.35, 6539
-248.794, -332.162, 70.1623, 2732
-233.046, -343.344, 446.558, 2732
-206.076, -360.179, 897.819, 2732
-195.48, -366.035, 546.191, 445
-188.455, -369.772, 1367.99, 6269
-174.886, -376.369, 1284.95, 2732
-38.1726, -413.236, 589.368, 19
-39.7445, -413.071, 89.7734, 405
-30.4257, -413.848, 1614.6, 4800
-24.6736, -414.25, 360.605, 410
-29.355, -413.923, 28.4994, 951
20.4832, -414.5, 1602.76, 4799
22.3045, -414.416, 604.037, 407
56.4257, -411.11, 188.36, 700
171.073, -378.066, 841.482, 5744
180.468, -373.668, 565.39, 5334
207.207, -359.526, 805.87, 700
212.414, -356.52, 445.315, 5744
222.236, -350.447, 796.693, 700
219.773, -351.986, 329.646, 419
222.759, -350.119, 1503.57, 2732
255.452, -327.014, 777.34, 700
376.51, -174.569, 1308.03, 6255
376.579, -174.414, 1063.64, 185
380.937, -164.625, 500.527, 117
414.665, -15.7515, -70.424, 874
414.867, 9.98714, -808.161, 2478
414.807, 11.6921, -780.155, 5744
371.552, 184.806, -1209.57, 2028
362.87, 201.416, -931.164, 3163
363.138, 200.951, -153.271, 408
333.148, 247.438, -1567.8, 3309
253.534, 328.512, -1599.4, 996
244.28, 335.442, -936.424, 457
234.962, 342.051, -1597.8, 3618
230.668, 344.947, -722.925, 3071
193.911, 366.87, -1473.42, 2829
177.316, 375.205, -411.411, 403
