# format: x, y, z, (trackId)+
413.174, -38.7662, 945.458, 7145
414.79, -12.1697, 646.4, 2609
371.013, 185.911, 189.469, 2609
357.777, 210.238, 1451.34, 6766
254.268, 327.939, 1189.66, 1195
253.693, 328.388, 873.452, 5236
222.813, 350.086, 1488.75, 4895
210.686, 357.518, 1485.33, 4895
36.0843, 413.453, 1317.31, 1195
36.4233, 413.429, 972.899, 1195
12.0991, 414.793, 548.453, 1195
9.26389, 414.892, 93.1254, 1195
-179.942, 373.924, 1307.96, 5074
-254.153, 328.029, 1013.3, 6370
-338.422, 240.178, 1019.05, 4730
-359.137, 207.882, 890.091, 4731
-414.602, 17.556, 863.556, 5461
-384.212, -156.77, 973.024, 4667
-381.63, -163.07, 1466.53, 5734
-370.623, -186.71, 1131.31, 3511
-353.615, -217.165, 1219.45, 3511
-342.663, -234.055, 1384.84, 5243
-334.83, -245.123, 109.566, 3560
-330.903, -250.474, 1335.52, 3511
-221.374, -350.985, 1269.65, 3511
-220.252, -351.686, 1410.88, 3511
-222.505, -350.278, 1389.45, 3511
-220.968, -351.239, 1361.46, 3511
-222.505, -350.278, 1351.5, 3511
-220.196, -351.721, 1291.42, 3511
-222.505, -350.278, 1174.68, 3511
-220.428, -351.576, 1155.9, 3511
-220.07, -351.8, 1130.43, 3511
-219.825, -351.953, 1095.74, 3511
-218.355, -352.872, 1026.34, 3511
-222.505, -350.278, 1048.39, 3511
-222.505, -350.278, 1027.69, 3511
-218.267, -352.926, 1076.64, 3511
-213.765, -355.74, 1263.76, 3511
-207.35, -359.444, 1281.53, 3511
-209.646, -358.118, 1192.58, 3511
-207.915, -359.118, 1175.83, 3511
-208.748, -358.636, 999.036, 3511
-209.646, -358.118, 980.499, 3511
-209.646, -358.118, 924.703, 3511
-206.448, -359.965, 891.227, 3511
-196.509, -365.488, 830.989, 3511
-196.509, -365.488, 785.661, 3511
-194.469, -366.573, 751.453, 3511
-195.25, -366.158, 717.336, 3511
